Part_ID,Date,Time,Level,Throw Number,Error,Success(Y/N),Time Stamp
374,07/20,7/20/2020 8:39:54 PM,2,6,3.208447,No,7/20/2020 1:39:54 PM
374,07/20,7/20/2020 8:39:56 PM,2,7,3.18941,No,7/20/2020 1:39:56 PM
374,07/20,7/20/2020 8:39:58 PM,2,8,3.213011,No,7/20/2020 1:39:58 PM
374,07/20,7/20/2020 8:40:00 PM,2,9,3.194992,No,7/20/2020 1:40:00 PM
374,07/20,7/20/2020 8:40:02 PM,2,10,3.195024,No,7/20/2020 1:40:02 PM
374,07/20,7/20/2020 8:40:08 PM,3,1,2.511497,No,7/20/2020 1:40:08 PM
374,07/20,7/20/2020 8:40:10 PM,3,2,2.58437,No,7/20/2020 1:40:10 PM
374,07/20,7/20/2020 8:40:12 PM,3,3,2.558923,No,7/20/2020 1:40:12 PM
374,07/20,7/20/2020 8:40:14 PM,3,4,2.548705,No,7/20/2020 1:40:14 PM
374,07/20,7/20/2020 8:40:17 PM,3,5,2.584122,No,7/20/2020 1:40:17 PM
374,07/20,7/20/2020 8:40:19 PM,3,6,2.607202,No,7/20/2020 1:40:19 PM
374,07/20,7/20/2020 8:40:21 PM,3,7,2.571158,No,7/20/2020 1:40:21 PM
374,07/20,7/20/2020 8:40:23 PM,3,8,2.568953,No,7/20/2020 1:40:23 PM
374,07/20,7/20/2020 8:40:25 PM,3,9,2.63096,No,7/20/2020 1:40:25 PM
374,07/20,7/20/2020 8:40:27 PM,3,10,2.578465,No,7/20/2020 1:40:27 PM
374,07/20,7/20/2020 8:40:31 PM,4,1,3.488515,No,7/20/2020 1:40:31 PM
374,07/20,7/20/2020 8:40:33 PM,4,2,3.561072,No,7/20/2020 1:40:33 PM
374,07/20,7/20/2020 8:40:35 PM,4,3,3.583058,No,7/20/2020 1:40:35 PM
374,07/20,7/20/2020 8:40:38 PM,4,4,3.595046,No,7/20/2020 1:40:38 PM
374,07/20,7/20/2020 8:40:40 PM,4,5,3.551312,No,7/20/2020 1:40:40 PM
374,07/20,7/20/2020 8:40:42 PM,4,6,3.572032,No,7/20/2020 1:40:42 PM
374,07/20,7/20/2020 8:40:44 PM,4,7,3.591346,No,7/20/2020 1:40:44 PM
374,07/20,7/20/2020 8:40:46 PM,4,8,3.588309,No,7/20/2020 1:40:46 PM
374,07/20,7/20/2020 8:40:48 PM,4,9,3.605371,No,7/20/2020 1:40:48 PM
374,07/20,7/20/2020 8:40:50 PM,4,10,3.611269,No,7/20/2020 1:40:50 PM
374,07/20,7/20/2020 8:40:54 PM,5,1,3.59595,No,7/20/2020 1:40:54 PM
374,07/20,7/20/2020 8:40:57 PM,5,2,3.577493,No,7/20/2020 1:40:57 PM
374,07/20,7/20/2020 8:40:59 PM,5,3,3.589451,No,7/20/2020 1:40:59 PM
374,07/20,7/20/2020 8:41:01 PM,5,4,3.587403,No,7/20/2020 1:41:01 PM
374,07/20,7/20/2020 8:41:03 PM,5,5,3.593324,No,7/20/2020 1:41:03 PM
374,07/20,7/20/2020 8:41:05 PM,5,6,3.582383,No,7/20/2020 1:41:05 PM
374,07/20,7/20/2020 8:41:07 PM,5,7,3.546526,No,7/20/2020 1:41:07 PM
374,07/20,7/20/2020 8:41:09 PM,5,8,3.600791,No,7/20/2020 1:41:09 PM
374,07/20,7/20/2020 8:41:11 PM,5,9,3.597286,No,7/20/2020 1:41:11 PM
374,07/20,7/20/2020 8:41:13 PM,5,10,3.585942,No,7/20/2020 1:41:13 PM
375,07/20,7/20/2020 8:54:41 PM,Practice,1,0.704212,No,7/20/2020 1:54:41 PM
375,07/20,7/20/2020 1:54:43 PM,Practice,2,0.704212,Yes,7/20/2020 1:54:43 PM
375,07/20,7/20/2020 8:54:47 PM,Practice,3,0.5843969,No,7/20/2020 1:54:47 PM
375,07/20,7/20/2020 8:54:50 PM,Practice,4,1.169933,No,7/20/2020 1:54:50 PM
375,07/20,7/20/2020 1:54:53 PM,Practice,5,1.169933,Yes,7/20/2020 1:54:53 PM
375,07/20,7/20/2020 8:54:56 PM,Practice,6,1.125002,No,7/20/2020 1:54:56 PM
375,07/20,7/20/2020 8:55:00 PM,Practice,7,0.9473198,No,7/20/2020 1:55:00 PM
375,07/20,7/20/2020 8:55:03 PM,Practice,8,1.001765,No,7/20/2020 1:55:03 PM
375,07/20,7/20/2020 1:55:06 PM,Practice,9,1.001765,Yes,7/20/2020 1:55:06 PM
375,07/20,7/20/2020 8:55:09 PM,Practice,10,0.9978722,No,7/20/2020 1:55:09 PM
375,07/20,7/20/2020 8:55:25 PM,1,1,1.190742,No,7/20/2020 1:55:25 PM
375,07/20,7/20/2020 8:55:28 PM,1,2,0.382122,No,7/20/2020 1:55:28 PM
375,07/20,7/20/2020 8:55:38 PM,1,3,0.9685994,No,7/20/2020 1:55:38 PM
375,07/20,7/20/2020 8:55:41 PM,1,4,0.2959063,No,7/20/2020 1:55:41 PM
375,07/20,7/20/2020 8:55:47 PM,1,5,1.162928,No,7/20/2020 1:55:47 PM
375,07/20,7/20/2020 8:55:50 PM,1,6,1.042921,No,7/20/2020 1:55:50 PM
375,07/20,7/20/2020 1:55:53 PM,1,7,1.042921,Yes,7/20/2020 1:55:53 PM
375,07/20,7/20/2020 8:55:56 PM,1,8,0.5042078,No,7/20/2020 1:55:56 PM
375,07/20,7/20/2020 8:55:58 PM,1,9,0.2723188,No,7/20/2020 1:55:59 PM
375,07/20,7/20/2020 8:56:01 PM,1,10,0.6078622,No,7/20/2020 1:56:01 PM
376,07/20,7/20/2020 9:06:21 PM,Practice,1,0.893133,No,7/20/2020 2:06:21 PM
376,07/20,7/20/2020 2:06:24 PM,Practice,2,0.893133,Yes,7/20/2020 2:06:24 PM
376,07/20,7/20/2020 9:06:26 PM,Practice,3,0.5129706,No,7/20/2020 2:06:26 PM
376,07/20,7/20/2020 9:06:30 PM,Practice,4,0.4088815,No,7/20/2020 2:06:30 PM
376,07/20,7/20/2020 2:06:33 PM,Practice,5,0.4088815,Yes,7/20/2020 2:06:33 PM
376,07/20,7/20/2020 9:06:35 PM,Practice,6,0.6887808,No,7/20/2020 2:06:35 PM
376,07/20,7/20/2020 2:06:38 PM,Practice,7,0.6887808,Yes,7/20/2020 2:06:38 PM
376,07/20,7/20/2020 9:06:41 PM,Practice,8,1.117865,No,7/20/2020 2:06:41 PM
376,07/20,7/20/2020 2:06:44 PM,Practice,9,1.117865,Yes,7/20/2020 2:06:44 PM
376,07/20,7/20/2020 9:06:47 PM,Practice,10,0.2823114,No,7/20/2020 2:06:47 PM
376,07/20,7/20/2020 9:06:56 PM,1,1,0.3616019,No,7/20/2020 2:06:56 PM
376,07/20,7/20/2020 9:06:59 PM,1,2,0.5801408,No,7/20/2020 2:06:59 PM
376,07/20,7/20/2020 2:07:02 PM,1,3,0.5801408,Yes,7/20/2020 2:07:02 PM
376,07/20,7/20/2020 9:07:04 PM,1,4,0.2838167,No,7/20/2020 2:07:04 PM
376,07/20,7/20/2020 9:07:08 PM,1,5,1.975951,No,7/20/2020 2:07:08 PM
376,07/20,7/20/2020 9:07:12 PM,1,6,0.4901474,No,7/20/2020 2:07:12 PM
376,07/20,7/20/2020 9:07:15 PM,1,7,0.8732132,No,7/20/2020 2:07:15 PM
376,07/20,7/20/2020 9:07:18 PM,1,8,1.010247,No,7/20/2020 2:07:18 PM
376,07/20,7/20/2020 2:07:21 PM,1,9,1.010247,Yes,7/20/2020 2:07:21 PM
376,07/20,7/20/2020 9:07:24 PM,1,10,1.023214,No,7/20/2020 2:07:24 PM
377,07/20,7/20/2020 9:16:41 PM,Practice,1,2.667979,No,7/20/2020 2:16:41 PM
377,07/20,7/20/2020 9:16:43 PM,Practice,2,2.667979,No,7/20/2020 2:16:43 PM
377,07/20,7/20/2020 9:16:45 PM,Practice,3,2.667979,No,7/20/2020 2:16:45 PM
377,07/20,7/20/2020 9:16:46 PM,Practice,4,2.667979,No,7/20/2020 2:16:46 PM
377,07/20,7/20/2020 9:16:48 PM,Practice,5,2.667979,No,7/20/2020 2:16:48 PM
377,07/20,7/20/2020 9:16:50 PM,Practice,6,2.667979,No,7/20/2020 2:16:50 PM
377,07/20,7/20/2020 9:16:52 PM,Practice,7,2.667979,No,7/20/2020 2:16:52 PM
377,07/20,7/20/2020 9:16:54 PM,Practice,8,2.667979,No,7/20/2020 2:16:54 PM
377,07/20,7/20/2020 9:16:55 PM,Practice,9,2.667979,No,7/20/2020 2:16:55 PM
377,07/20,7/20/2020 9:16:57 PM,Practice,10,2.667979,No,7/20/2020 2:16:57 PM
377,07/20,7/20/2020 9:17:07 PM,1,1,0.4350927,No,7/20/2020 2:17:07 PM
377,07/20,7/20/2020 9:17:11 PM,1,2,0.9951325,No,7/20/2020 2:17:11 PM
377,07/20,7/20/2020 9:17:14 PM,1,3,0.3974237,No,7/20/2020 2:17:14 PM
377,07/20,7/20/2020 9:17:17 PM,1,4,0.9887759,No,7/20/2020 2:17:17 PM
378,07/20,7/20/2020 9:22:44 PM,Practice,1,0.9412206,No,7/20/2020 2:22:44 PM
378,07/20,7/20/2020 2:22:47 PM,Practice,2,0.9412206,Yes,7/20/2020 2:22:47 PM
378,07/20,7/20/2020 9:22:50 PM,Practice,3,1.175639,No,7/20/2020 2:22:50 PM
378,07/20,7/20/2020 9:22:53 PM,Practice,4,0.9093807,No,7/20/2020 2:22:53 PM
378,07/20,7/20/2020 9:22:56 PM,Practice,5,1.777614,No,7/20/2020 2:22:56 PM
378,07/20,7/20/2020 9:22:58 PM,Practice,6,0.3865379,No,7/20/2020 2:22:58 PM
378,07/20,7/20/2020 9:23:01 PM,Practice,7,0.7720544,No,7/20/2020 2:23:01 PM
378,07/20,7/20/2020 9:23:04 PM,Practice,8,0.2661931,No,7/20/2020 2:23:04 PM
378,07/20,7/20/2020 9:23:07 PM,Practice,9,0.3009726,No,7/20/2020 2:23:07 PM
378,07/20,7/20/2020 9:23:10 PM,Practice,10,1.180944,No,7/20/2020 2:23:10 PM
378,07/20,7/20/2020 9:23:17 PM,1,1,0.2713216,No,7/20/2020 2:23:17 PM
378,07/20,7/20/2020 2:23:20 PM,1,2,0.2713216,Yes,7/20/2020 2:23:20 PM
378,07/20,7/20/2020 9:23:23 PM,1,3,1.27782,No,7/20/2020 2:23:23 PM
378,07/20,7/20/2020 9:23:26 PM,1,4,0.27142,No,7/20/2020 2:23:26 PM
378,07/20,7/20/2020 9:23:29 PM,1,5,1.141158,No,7/20/2020 2:23:29 PM
378,07/20,7/20/2020 9:23:32 PM,1,6,0.3768397,No,7/20/2020 2:23:32 PM
378,07/20,7/20/2020 9:23:35 PM,1,7,0.8113165,No,7/20/2020 2:23:35 PM
378,07/20,7/20/2020 9:23:38 PM,1,8,0.7406139,No,7/20/2020 2:23:38 PM
378,07/20,7/20/2020 9:23:41 PM,1,9,0.3123184,No,7/20/2020 2:23:41 PM
378,07/20,7/20/2020 2:23:43 PM,1,10,0.3123184,Yes,7/20/2020 2:23:44 PM
379,07/20,7/20/2020 9:25:08 PM,Practice,1,0.7826936,No,7/20/2020 2:25:08 PM
379,07/20,7/20/2020 2:25:10 PM,Practice,2,0.7826936,Yes,7/20/2020 2:25:10 PM
379,07/20,7/20/2020 2:25:14 PM,Practice,3,0.7826936,Yes,7/20/2020 2:25:14 PM
379,07/20,7/20/2020 9:25:17 PM,Practice,4,1.030726,No,7/20/2020 2:25:17 PM
379,07/20,7/20/2020 2:25:20 PM,Practice,5,1.030726,Yes,7/20/2020 2:25:20 PM
379,07/20,7/20/2020 9:25:23 PM,Practice,6,1.045035,No,7/20/2020 2:25:23 PM
379,07/20,7/20/2020 2:25:26 PM,Practice,7,1.045035,Yes,7/20/2020 2:25:26 PM
379,07/20,7/20/2020 9:25:29 PM,Practice,8,0.5049396,No,7/20/2020 2:25:29 PM
379,07/20,7/20/2020 2:25:32 PM,Practice,9,0.5049396,Yes,7/20/2020 2:25:32 PM
379,07/20,7/20/2020 9:25:35 PM,Practice,10,0.3146732,No,7/20/2020 2:25:35 PM
379,07/20,7/20/2020 2:25:42 PM,1,1,0.3146732,Yes,7/20/2020 2:25:42 PM
379,07/20,7/20/2020 9:25:45 PM,1,2,1.249628,No,7/20/2020 2:25:45 PM
379,07/20,7/20/2020 9:25:48 PM,1,3,0.74501,No,7/20/2020 2:25:48 PM
379,07/20,7/20/2020 9:25:51 PM,1,4,0.3436253,No,7/20/2020 2:25:51 PM
379,07/20,7/20/2020 9:25:54 PM,1,5,0.4486021,No,7/20/2020 2:25:54 PM
379,07/20,7/20/2020 9:25:57 PM,1,6,1.129022,No,7/20/2020 2:25:57 PM
379,07/20,7/20/2020 2:26:00 PM,1,7,1.129022,Yes,7/20/2020 2:26:00 PM
379,07/20,7/20/2020 9:26:04 PM,1,8,1.444415,No,7/20/2020 2:26:04 PM
379,07/20,7/20/2020 9:26:06 PM,1,9,0.8769197,No,7/20/2020 2:26:06 PM
379,07/20,7/20/2020 9:26:09 PM,1,10,0.9579306,No,7/20/2020 2:26:09 PM
380,07/20,7/20/2020 2:31:36 PM,Practice,1,0,Yes,7/20/2020 2:31:36 PM
380,07/20,7/20/2020 9:31:39 PM,Practice,2,0.7372397,No,7/20/2020 2:31:39 PM
380,07/20,7/20/2020 2:31:42 PM,Practice,3,0.7372397,Yes,7/20/2020 2:31:42 PM
380,07/20,7/20/2020 9:31:45 PM,Practice,4,1.250485,No,7/20/2020 2:31:45 PM
380,07/20,7/20/2020 2:31:48 PM,Practice,5,1.250485,Yes,7/20/2020 2:31:48 PM
380,07/20,7/20/2020 2:31:51 PM,Practice,6,1.250485,Yes,7/20/2020 2:31:51 PM
380,07/20,7/20/2020 2:31:53 PM,Practice,7,1.250485,Yes,7/20/2020 2:31:53 PM
380,07/20,7/20/2020 9:31:56 PM,Practice,8,0.4683845,No,7/20/2020 2:31:56 PM
380,07/20,7/20/2020 9:31:59 PM,Practice,9,1.23663,No,7/20/2020 2:31:59 PM
380,07/20,7/20/2020 2:32:02 PM,Practice,10,1.23663,Yes,7/20/2020 2:32:02 PM
380,07/20,7/20/2020 9:32:07 PM,1,1,0.7902564,No,7/20/2020 2:32:07 PM
380,07/20,7/20/2020 2:32:09 PM,1,2,0.7902564,Yes,7/20/2020 2:32:09 PM
380,07/20,7/20/2020 9:32:12 PM,1,3,1.378228,No,7/20/2020 2:32:12 PM
380,07/20,7/20/2020 2:32:15 PM,1,4,1.378228,Yes,7/20/2020 2:32:15 PM
380,07/20,7/20/2020 9:32:18 PM,1,5,1.009871,No,7/20/2020 2:32:18 PM
380,07/20,7/20/2020 9:32:21 PM,1,6,0.5721477,No,7/20/2020 2:32:21 PM
380,07/20,7/20/2020 9:32:24 PM,1,7,0.4026913,No,7/20/2020 2:32:24 PM
380,07/20,7/20/2020 2:32:27 PM,1,8,0.4026913,Yes,7/20/2020 2:32:27 PM
380,07/20,7/20/2020 2:32:30 PM,1,9,0.4026913,Yes,7/20/2020 2:32:30 PM
380,07/20,7/20/2020 9:32:32 PM,1,10,0.9225198,No,7/20/2020 2:32:32 PM
380,07/20,7/20/2020 9:32:38 PM,2,1,0.3814218,No,7/20/2020 2:32:38 PM
380,07/20,7/20/2020 9:32:41 PM,2,2,0.7109419,No,7/20/2020 2:32:41 PM
380,07/20,7/20/2020 2:32:44 PM,2,3,0.7109419,Yes,7/20/2020 2:32:44 PM
380,07/20,7/20/2020 9:32:47 PM,2,4,0.7538617,No,7/20/2020 2:32:47 PM
380,07/20,7/20/2020 9:32:50 PM,2,5,1.573962,No,7/20/2020 2:32:50 PM
380,07/20,7/20/2020 9:32:54 PM,2,6,0.8954684,No,7/20/2020 2:32:54 PM
380,07/20,7/20/2020 9:32:58 PM,2,7,1.093177,No,7/20/2020 2:32:58 PM
380,07/20,7/20/2020 9:33:01 PM,2,8,0.2723798,No,7/20/2020 2:33:01 PM
380,07/20,7/20/2020 9:33:04 PM,2,9,0.3282187,No,7/20/2020 2:33:04 PM
380,07/20,7/20/2020 9:33:07 PM,2,10,0.5885893,No,7/20/2020 2:33:07 PM
380,07/20,7/20/2020 9:33:15 PM,3,1,1.137038,No,7/20/2020 2:33:15 PM
380,07/20,7/20/2020 9:33:18 PM,3,2,0.4214197,No,7/20/2020 2:33:18 PM
380,07/20,7/20/2020 9:33:21 PM,3,3,1.267245,No,7/20/2020 2:33:21 PM
380,07/20,7/20/2020 9:33:23 PM,3,4,0.7121354,No,7/20/2020 2:33:23 PM
380,07/20,7/20/2020 9:33:26 PM,3,5,1.389074,No,7/20/2020 2:33:26 PM
380,07/20,7/20/2020 9:33:29 PM,3,6,1.112969,No,7/20/2020 2:33:29 PM
380,07/20,7/20/2020 9:33:32 PM,3,7,0.8552619,No,7/20/2020 2:33:32 PM
380,07/20,7/20/2020 9:33:36 PM,3,8,0.558908,No,7/20/2020 2:33:36 PM
380,07/20,7/20/2020 9:33:39 PM,3,9,0.6965929,No,7/20/2020 2:33:39 PM
380,07/20,7/20/2020 9:33:41 PM,3,10,0.3510268,No,7/20/2020 2:33:41 PM
380,07/20,7/20/2020 9:33:48 PM,4,1,1.193271,No,7/20/2020 2:33:48 PM
380,07/20,7/20/2020 9:33:52 PM,4,2,1.276865,No,7/20/2020 2:33:52 PM
380,07/20,7/20/2020 9:33:55 PM,4,3,0.9505,No,7/20/2020 2:33:55 PM
380,07/20,7/20/2020 9:33:58 PM,4,4,0.2778556,No,7/20/2020 2:33:58 PM
380,07/20,7/20/2020 9:34:02 PM,4,5,1.227415,No,7/20/2020 2:34:02 PM
380,07/20,7/20/2020 9:34:05 PM,4,6,0.9076589,No,7/20/2020 2:34:05 PM
380,07/20,7/20/2020 9:34:08 PM,4,7,1.726795,No,7/20/2020 2:34:08 PM
380,07/20,7/20/2020 9:34:12 PM,4,8,1.57285,No,7/20/2020 2:34:12 PM
380,07/20,7/20/2020 9:34:14 PM,4,9,0.2841098,No,7/20/2020 2:34:14 PM
